,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-02 11:45:53+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],322,en,17219,245397,63,False,True. Russian culture and thinking have been forced on Ukrainians for centuries while Russia despise anything Ukrai… https://t.co/iWYn4Y1V9c,Sweden Ukraine Europe,0.121,0.233,0,140,17219,0,1,18,6.833333333333333
1,2022-05-02 10:38:44+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],164,en,17219,245397,12,False,It's also important to remember that Israel's enemies were always dictatorships and they always had very cruel plan… https://t.co/b4Ht6aLiWm,Sweden Ukraine Europe,0.072,0.291,0,140,17219,0,1,19,6.421052631578948
2,2022-05-02 10:35:04+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],256,en,17219,245397,32,False,Israel was attacked by numerically superior enemies again and again but was still accused by the European left of b… https://t.co/TRkttLSfS9,Sweden Ukraine Europe,0.086,0.264,0,140,17219,0,1,21,5.714285714285714
3,2022-05-02 10:31:25+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],242,en,17219,245397,36,False,"I would like to be bold and connect the letter writing ""intellectuals"" with Lavrov's antisemitism. As far as I reme… https://t.co/4XOPON3bH5",Sweden Ukraine Europe,0.231,0.0,0,140,17219,0,1,21,5.714285714285714
4,2022-05-02 10:15:51+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],732,en,17219,245397,149,False,"Russia do what it can to make new enemies:
""Sergei Lavrov said the fact that President Zelenskyy is Jewish does not… https://t.co/XPS3R6aG1H",Sweden Ukraine Europe,0.0,0.132,0,140,17219,0,1,22,5.409090909090909
5,2022-05-02 09:22:49+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],"[{'screen_name': 'honeytootsies', 'name': 'Anna', 'id': 1369274047859724289, 'id_str': '1369274047859724289', 'indices': [0, 14]}, {'screen_name': 'Simba66775131', 'name': 'Simba', 'id': 1318084917662609408, 'id_str': '1318084917662609408', 'indices': [15, 29]}]",4,en,17219,245397,0,False,@honeytootsies @Simba66775131 I will take photos as soon as the photo ban is dropped.,Sweden Ukraine Europe,0.0,0.231,0,85,17219,0,0,14,5.142857142857143
6,2022-05-02 08:54:55+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],2503,en,17219,245397,226,False,"Sitting in the sun at a cafe in Kyiv. I see a policeman with an AK74, a few soldiers on leave and a barricade now p… https://t.co/3f745qSKVH",Sweden Ukraine Europe,0.0,0.054,0,140,17219,0,1,27,4.222222222222222
7,2022-05-02 08:43:21+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],"[{'screen_name': 'MarcCoufal', 'name': 'Marek Coufal', 'id': 3776460917, 'id_str': '3776460917', 'indices': [0, 11]}]",2,en,17219,245397,0,False,@MarcCoufal That point I made many times but that goes beyond my thesis of character here.,Sweden Ukraine Europe,0.0,0.0,0,90,17219,0,0,16,4.6875
8,2022-05-02 08:39:48+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],372,en,17219,245397,27,False,Finally it's the temper. I was shocked when I first understood the level of temper in this country. I often joke an… https://t.co/26o5ONDnoP,Sweden Ukraine Europe,0.084,0.303,0,140,17219,0,1,23,5.130434782608695
9,2022-05-02 08:36:33+00:00,Anders Östlund,55976,"Swede by birth, European by choice.
Live in Kyiv. Interested in geopolitics. 
Non resident fellow at @cepa.
I try to reply to comments but time is a constraint.",[],[],335,en,17219,245397,23,False,Considering the chaotic history of Ukraine since independence and the constant attempts by elites to screw the peop… https://t.co/a6BFFQI1yT,Sweden Ukraine Europe,0.0,0.213,0,140,17219,0,1,19,6.421052631578948
