,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-02 12:05:04+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],393,en,1052,667468,65,False,"Biden shows true affection for the media as an institution, perhaps because he understands — better than click-focu… https://t.co/vOM1WrHNBS",Washington DC,0.378,0.0,0,140,1052,0,1,19,6.421052631578948
1,2022-05-02 12:02:14+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],231,en,1052,667468,59,False,Refusing to call out Republicans’ habitual lies as more than “just politics” and the media’s obsessions with horse-… https://t.co/wJ9FFv3vuo,Washington DC,0.0,0.316,0,140,1052,0,1,19,6.421052631578948
2,2022-05-02 12:01:16+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],134,en,1052,667468,30,False,The too-common pose of “neutrality” when one political party is injecting that “poison” running through our democra… https://t.co/fWs7XReMRd,Washington DC,0.137,0.0,0,140,1052,0,1,18,6.833333333333333
3,2022-05-02 00:34:44+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'tribelaw', 'name': 'Laurence Tribe', 'id': 4091551984, 'id_str': '4091551984', 'indices': [0, 9]}]",906,en,1052,667468,104,False,"@tribelaw But really, what's 124 years of precedent to this Supreme Court?",Washington DC,0.348,0.0,0,74,1052,0,0,12,5.25
4,2022-05-02 00:17:28+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],787,en,1052,667468,148,False,the anti-immigration right must think Russia is getting the better of the deal: its population is dropping and the… https://t.co/8TwfDwbFIe,Washington DC,0.132,0.0,0,139,1052,0,1,20,6.0
5,2022-05-01 23:43:16+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'JuddLegum', 'name': 'Judd Legum', 'id': 15464697, 'id_str': '15464697', 'indices': [0, 10]}, {'screen_name': 'JDVance1', 'name': 'J.D. Vance', 'id': 1542228578, 'id_str': '1542228578', 'indices': [11, 20]}]",204,en,1052,667468,11,False,"@JuddLegum @JDVance1 in fairness, there are lots of things Trump can't remember...",Washington DC,0.0,0.0,0,82,1052,0,0,12,5.916666666666667
6,2022-05-01 23:42:22+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'ekaramurza', 'name': 'Evgenia Kara-Murza', 'id': 842185540116062208, 'id_str': '842185540116062208', 'indices': [0, 11]}, {'screen_name': 'washingtonpost', 'name': 'The Washington Post', 'id': 2467791, 'id_str': '2467791', 'indices': [12, 27]}]",43,en,1052,667468,4,False,@ekaramurza @washingtonpost Your dignity and courage last week in telling your husband's story were an inspiration,Washington DC,0.417,0.0,0,114,1052,0,0,16,6.1875
7,2022-05-01 22:52:05+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'FPWellman', 'name': 'Fred Wellman', 'id': 42518865, 'id_str': '42518865', 'indices': [0, 10]}]",557,en,1052,667468,51,False,@FPWellman How dumb do you have to be to think the dementia test is an intelligence test?,Washington DC,0.145,0.154,0,89,1052,0,0,17,4.294117647058823
8,2022-05-01 22:46:02+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'BillKristol', 'name': 'Bill Kristol', 'id': 2800581040, 'id_str': '2800581040', 'indices': [0, 12]}]",126,en,1052,667468,6,False,@BillKristol Doesn't Chomsky now look like Leo Tolstoy? Just saying,Washington DC,0.217,0.0,0,67,1052,0,0,10,5.8
9,2022-05-01 22:38:43+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'ChrisMurphyCT', 'name': 'Chris Murphy', 'id': 150078976, 'id_str': '150078976', 'indices': [0, 14]}]",149,en,1052,667468,19,False,"@ChrisMurphyCT Rs for free speech for corps only when speech is money. actual, real speech they aren't in support of.",Washington DC,0.14,0.096,0,117,1052,0,0,20,4.9
10,2022-05-01 22:30:30+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],"[{'screen_name': 'RepJasonCrow', 'name': 'Rep. Jason Crow', 'id': 1080191866509901826, 'id_str': '1080191866509901826', 'indices': [0, 13]}]",80,en,1052,667468,7,False,"@RepJasonCrow in Poland today - once more impresses with seriousness of purpose, command of the facts.",Washington DC,0.19,0.082,0,102,1052,0,0,16,5.4375
11,2022-05-01 18:38:31+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],3359,en,1052,667468,712,False,The problem for ABC is having on someone who wantonly lies. If he cannot stick to facts he shouldn’t be on air. Per… https://t.co/Kz7T6UZopB,Washington DC,0.0,0.2,1,140,1052,0,1,24,4.875
12,2022-05-01 14:59:22+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],1115,en,1052,667468,359,False,THIS!! Congress must act to prevent an election coup in 2024 https://t.co/hhSm0jlkBt,Washington DC,0.133,0.0,1,84,1052,0,1,12,6.083333333333333
13,2022-05-01 14:57:40+00:00,Jennifer 'I stand with Ukraine' Rubin 🇺🇦🇺🇦,117983,"NeverTrump, pro-democracy opinion writer at @WashingtonPost, MSNBC contributor. “But at any rate, I came for ice cream.""",[],[],814,en,1052,667468,170,False,The case should be so convincing that it builds public support for reforms and deprives foot-draggers and skeptics… https://t.co/L4743AZRTl,Washington DC,0.249,0.108,0,139,1052,0,1,19,6.368421052631579
