,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-01 11:08:54+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],321,en,288,57314,120,False,In the Kherson region russians abducted &amp; tortured Ukrainian veteran Nazar Kahalnyak. His health significantly dete… https://t.co/vpC1H7QaZo,"Kyiv, Ukraine",0.0,0.315,0,144,288,0,1,17,7.529411764705882
1,2022-05-01 10:46:51+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'myroslavapetsa', 'name': 'Myroslava Petsa', 'id': 371972173, 'id_str': '371972173', 'indices': [3, 18]}]",0,en,288,57314,70,False,RT @myroslavapetsa: High hopes for a big evacuation of Mariupol civilians from the ruined city to Zaporizhia today.,"Kyiv, Ukraine",0.134,0.148,0,115,288,0,0,18,5.444444444444445
2,2022-05-01 10:46:14+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'HopkoHanna', 'name': 'Hanna Hopko', 'id': 2610556160, 'id_str': '2610556160', 'indices': [3, 14]}]",0,en,288,57314,223,False,"RT @HopkoHanna: This amazing child lost her father (first on the phono). Her dad will no longer take the baby on his shoulder.
Ruslan Borov…","Kyiv, Ukraine",0.125,0.149,0,140,288,0,0,25,4.64
3,2022-05-01 10:45:55+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'Azov', 'indices': [29, 34]}]","[{'screen_name': 'Mariia_Zolkina', 'name': 'Maria Zolkina', 'id': 2260170266, 'id_str': '2260170266', 'indices': [3, 18]}]",0,en,288,57314,232,False,RT @Mariia_Zolkina: Regiment #Azov continues to be absurdly accused of being “neo-nazi/extremists/far-right”. Working with media as an expe…,"Kyiv, Ukraine",0.0,0.115,0,140,288,1,0,18,6.833333333333333
4,2022-05-01 10:45:24+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'IAPonomarenko', 'name': 'Illia Ponomarenko 🇺🇦', 'id': 262219168, 'id_str': '262219168', 'indices': [3, 17]}]",0,en,288,57314,3105,False,"RT @IAPonomarenko: “Russian forces appear increasingly unlikely to achieve any major advances in eastern Ukraine, and Ukrainian forces may…","Kyiv, Ukraine",0.0,0.0,1,139,288,0,0,19,6.368421052631579
5,2022-05-01 10:42:47+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],51,en,288,57314,19,False,Ombudswoman Denisova: Medical examination of mobilized personnel was canceled in the occupied parts of Donetsk &amp; Lu… https://t.co/DouBAOwLzQ,"Kyiv, Ukraine",0.0,0.0,0,144,288,0,1,18,7.055555555555555
6,2022-05-01 10:24:24+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],247,en,288,57314,135,False,"russians attempt to buy grain from Zaporizhzhia farmers at half-price. In case they refuse, russians confiscate grain at the gunpoint","Kyiv, Ukraine",0.0,0.104,0,133,288,0,0,20,5.7
7,2022-05-01 09:53:27+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'Mariupol', 'indices': [57, 66]}, {'text': 'Azovstal', 'indices': [98, 107]}]",[],120,en,288,57314,66,False,"""This video is a clear demonstration of why civilians in #Mariupol, including those hiding in the #Azovstal plant,… https://t.co/iuaKyPtLrJ","Kyiv, Ukraine",0.189,0.104,0,139,288,2,1,19,6.368421052631579
8,2022-05-01 09:52:42+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],245,en,288,57314,131,False,The Azov Regiment servicemen released a video where a russian tank systematically &amp; intentionally fires at a reside… https://t.co/Df0Iaz3VYo,"Kyiv, Ukraine",0.0,0.0,0,144,288,0,1,19,6.631578947368421
9,2022-05-01 09:02:19+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'visegrad24', 'name': 'Visegrád 24', 'id': 1222773302441148416, 'id_str': '1222773302441148416', 'indices': [3, 14]}]",0,en,288,57314,1749,False,RT @visegrad24: This elderly Ukrainian lady had her house destroyed in a Russian attack but the oven still works and somebody had to bake E…,"Kyiv, Ukraine",0.0,0.159,1,140,288,0,0,25,4.64
10,2022-04-30 21:35:36+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'Mariupol', 'indices': [51, 60]}]",[],272,en,288,57314,136,False,The invaders are housing strangers in the homes of #Mariupol residents. Sometimes new inhabitants deny to return be… https://t.co/jfd3fHDjgx,"Kyiv, Ukraine",0.0,0.118,0,140,288,1,1,19,6.421052631578948
