,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-02 12:04:47+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'Biz_Ukraine_Mag', 'name': 'Business Ukraine mag', 'id': 3301937067, 'id_str': '3301937067', 'indices': [3, 19]}]",0,en,972,273256,444,False,RT @Biz_Ukraine_Mag: Vladimir Putin has turned the annual WWII Victory Day holiday on May 9 into a celebration of Russian imperial aggressi…,Kyiv,0.124,0.0,0,140,972,0,0,22,5.409090909090909
1,2022-05-02 01:27:59+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Ukrainian', 'indices': [34, 44]}]",[],1538,en,972,273256,560,False,4.5 mil tons grain are blocked in #Ukrainian ports while the world tries to figure out if a new hunger is upon it.… https://t.co/rwBvZcXGhF,Kyiv,0.0,0.163,0,139,972,1,1,24,4.833333333333333
2,2022-05-02 01:00:08+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],[],2265,en,972,273256,381,False,"Lavrov saying to Italian TV he doesn’t want Zelensky to give up, he just wants him to cause no resistance really ma… https://t.co/aGtOfERWtx",Kyiv,0.053,0.09,0,140,972,0,1,23,5.130434782608695
3,2022-05-02 00:32:25+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],[],1878,en,972,273256,415,False,One of the differences between Putin’s barbaric operations in Ukraine &amp; Syria is that Syria was basically unarmed.… https://t.co/MGMrOgT7Pp,Kyiv,0.0,0.0,0,143,972,0,1,19,6.578947368421052
4,2022-05-02 00:19:25+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Ukrainian', 'indices': [0, 10]}]",[],2252,en,972,273256,501,False,"#Ukrainian journo Yuriy Butusov: on April 30, 🇷🇺 “Wagner” militants attacked 🇺🇦 trenches in Donbas, but were defeat… https://t.co/97QmN13Xah",Kyiv,0.0,0.1,0,140,972,1,1,19,6.421052631578948
5,2022-05-01 22:42:44+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'b_judah', 'name': 'Ben Judah', 'id': 217758017, 'id_str': '217758017', 'indices': [3, 11]}]",0,ro,972,273256,440,False,RT @b_judah: Extremely disturbing embrace of antisemitic rhetoric: https://t.co/shyfNQcGrn,Kyiv,0.196,0.273,0,90,972,0,1,9,9.11111111111111
6,2022-05-01 21:35:26+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'TeamPelosi', 'name': 'Nancy Pelosi', 'id': 2461810448, 'id_str': '2461810448', 'indices': [3, 14]}]",0,en,972,273256,3201,False,RT @TeamPelosi: You cannot fold to a bully. -NP https://t.co/9A36PhPgQA,Kyiv,0.451,0.0,1,71,972,0,1,10,6.2
7,2022-05-01 21:11:02+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],[],195,en,972,273256,40,False,"Here’s a lesson on how to demand “Peace in Ukraine” without mentioning Putin &amp; Russia.
And how to preach “deescalat… https://t.co/gXn26Pl1Z0",Kyiv,0.0,0.073,0,144,972,0,1,21,5.904761904761905
8,2022-05-01 19:52:58+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Russian', 'indices': [0, 8]}, {'text': 'Mariupol', 'indices': [96, 105]}]","[{'screen_name': 'CurrentTimeTv', 'name': 'Настоящее Время', 'id': 2797763208, 'id_str': '2797763208', 'indices': [26, 40]}]",1455,en,972,273256,828,False,#Russian anti-war channel @CurrentTimeTv publishes videos of RU tanks systematically destroying #Mariupol homes fro… https://t.co/AXttLP5dXe,Kyiv,0.0,0.205,0,140,972,2,1,15,8.4
9,2022-05-01 19:21:03+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'maria_avdv', 'name': 'Maria Avdeeva', 'id': 1233515835634913281, 'id_str': '1233515835634913281', 'indices': [3, 14]}]",0,en,972,273256,3781,False,RT @maria_avdv: Evacuation of civilians from Mariupol Azovstal began. A first group of 100 evacuees on the way to Zaporizhzhia. It is hard…,Kyiv,0.0,0.0,1,139,972,0,0,23,5.086956521739131
10,2022-05-01 18:30:08+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'PutinsWar', 'indices': [77, 87]}, {'text': 'StandWithUkraine', 'indices': [91, 108]}]",[],1633,en,972,273256,298,False,"Finally I can see Red Cross and those famous blue helmets doing something in #PutinsWar. 

#StandWithUkraine… https://t.co/4namvzQ86G",Kyiv,0.0,0.0,0,133,972,2,1,17,6.764705882352941
11,2022-05-01 18:23:26+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'UkraineWillWin', 'indices': [21, 36]}]","[{'screen_name': 'Gerashchenko_en', 'name': 'Anton Gerashchenko', 'id': 1505481949854502915, 'id_str': '1505481949854502915', 'indices': [3, 19]}]",0,und,972,273256,533,False,RT @Gerashchenko_en: #UkraineWillWin https://t.co/SjETShkybV,Kyiv,0.0,0.0,0,60,972,1,1,4,14.25
12,2022-05-01 17:47:42+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'adrianpetriw', 'name': 'Adrian Petriw🌻🇺🇦 Zed’s dead, baby. Zed’s dead.', 'id': 102899224, 'id_str': '102899224', 'indices': [0, 13]}]",3,en,972,273256,0,False,@adrianpetriw Yes. I keep thinking about that too.,Kyiv,0.31,0.0,0,50,972,0,0,8,5.375
13,2022-05-01 17:44:52+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],[],282,en,972,273256,11,False,I was told “deaf-mute” is wrong. Apparently people say just “deaf” now. Will consider for future purposes.,Kyiv,0.0,0.171,0,106,972,0,0,17,5.294117647058823
14,2022-05-01 17:32:56+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],[],797,en,972,273256,133,False,"Source: Ukrainian journalist Victor Shlinchak, quoting Ukraine’s minister of defense.",Kyiv,0.143,0.0,0,85,972,0,0,10,7.6
15,2022-05-01 17:30:17+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'UkrainianArmy', 'indices': [58, 72]}]",[],5248,en,972,273256,3735,False,"Another horror story. Liberating the occupied territories #UkrainianArmy found a dead woman, with her alive child t… https://t.co/21rCoe4WN6",Kyiv,0.106,0.325,1,140,972,1,1,18,6.833333333333333
16,2022-05-01 17:20:35+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Russia', 'indices': [93, 100]}]","[{'screen_name': 'lesiavasylenko', 'name': 'Lesia Vasylenko', 'id': 1219232377605644289, 'id_str': '1219232377605644289', 'indices': [3, 18]}]",0,en,972,273256,10405,False,RT @lesiavasylenko: This is how an 11 year old boy sees the world after having been raped by #Russia soldier in front of his mother. I find…,Kyiv,0.0,0.155,1,140,972,1,0,27,4.222222222222222
17,2022-05-01 17:19:32+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'andy_wue', 'name': 'Andy Kohler', 'id': 1133309311583756288, 'id_str': '1133309311583756288', 'indices': [0, 9]}, {'screen_name': 'AndreasSteinme4', 'name': 'Andreas Steinmetz 🇺🇳🇪🇺🇩🇪', 'id': 1118101421394673665, 'id_str': '1118101421394673665', 'indices': [10, 26]}]",0,und,972,273256,0,False,@andy_wue @AndreasSteinme4 https://t.co/5Nn0aH9X0o,Kyiv,0.0,0.0,0,50,972,0,1,3,16.0
18,2022-05-01 16:56:21+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'juliaioffe', 'name': 'Julia Ioffe', 'id': 71048726, 'id_str': '71048726', 'indices': [3, 14]}]",0,en,972,273256,311,False,"RT @juliaioffe: Putin began his reign by starting a war on Chechnya. He’s ending it with a war on Ukraine. The shells, it seems, stay the s…",Kyiv,0.0,0.253,0,140,972,0,0,27,4.222222222222222
19,2022-05-01 15:19:43+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Russia', 'indices': [122, 129]}, {'text': 'Ukraine', 'indices': [130, 138]}]","[{'screen_name': 'Blue_Sauron', 'name': 'BlueSauron👁️', 'id': 1370616208928747520, 'id_str': '1370616208928747520', 'indices': [3, 15]}]",0,en,972,273256,471,False,"RT @Blue_Sauron: Russian BTR destroyed by Ukrainian UAV corrected artillery fire during the battles at the eastern front.
#Russia #Ukraine…",Kyiv,0.0,0.325,0,139,972,2,0,20,6.0
20,2022-05-01 15:18:24+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'Ukraine', 'indices': [105, 113]}]",[],750,en,972,273256,156,False,"According to 🇹🇷 foreign minister, Bolsonaro, Erdogan and other leaders are ready to visit Moscow to talk #Ukraine w… https://t.co/07E54e7vR0",Kyiv,0.116,0.0,0,140,972,1,1,20,6.05
21,2022-05-01 15:08:38+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,[],"[{'screen_name': 'gilport', 'name': 'Gilberto González \uea00', 'id': 23042488, 'id_str': '23042488', 'indices': [0, 8]}]",5,en,972,273256,1,False,@gilport Or God’s.,Kyiv,0.0,0.0,0,18,972,0,0,3,5.333333333333333
22,2022-05-01 15:00:30+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'UkrainianArmy', 'indices': [23, 37]}, {'text': 'Ukraine', 'indices': [38, 46]}, {'text': 'StandWithUkraine', 'indices': [47, 64]}]",[],6431,en,972,273256,1211,False,"Who’re you gonna call?
#UkrainianArmy #Ukraine #StandWithUkraine https://t.co/UvpLz9gsmT",Kyiv,0.0,0.0,0,88,972,3,1,8,10.125
23,2022-05-01 14:58:29+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'dogsofukraine', 'indices': [71, 85]}, {'text': 'StandWithUkraine', 'indices': [86, 103]}]",[],4390,en,972,273256,715,False,"His name is Patron. He helps de-mining Ukraine. He is a legend here. 

#dogsofukraine #StandWithUkraine https://t.co/8HxZIqQEdM",Kyiv,0.157,0.0,0,127,972,2,1,16,6.875
24,2022-05-01 14:56:32+00:00,olexander scherba🇺🇦,28088,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,"[{'text': 'StopRussia', 'indices': [69, 80]}, {'text': 'StandWithUkraine', 'indices': [81, 98]}]",[],316,en,972,273256,45,False,"A private plane down in Siberia. Two Russian priests were on board.

#StopRussia #StandWithUkraine https://t.co/vNDOF5uinl",Kyiv,0.0,0.0,0,122,972,2,1,15,7.133333333333334
