,time,retweet_count,text Positive Sentiment Score,text Negative Sentiment Score
0,2022-05-02 12:36:23+00:00,34,0.0,0.0
1,2022-05-02 12:18:55+00:00,162,0.296,0.094
2,2022-05-02 12:07:32+00:00,219,0.0,0.251
3,2022-05-02 12:07:25+00:00,337,0.245,0.0
4,2022-05-02 12:06:21+00:00,2211,0.075,0.209
5,2022-05-02 07:20:40+00:00,315,0.139,0.0
6,2022-05-02 06:35:12+00:00,520,0.0,0.17
7,2022-05-01 19:29:13+00:00,1248,0.144,0.134
8,2022-05-01 19:27:00+00:00,442,0.071,0.134
9,2022-05-01 19:26:23+00:00,2338,0.0,0.146
10,2022-05-01 19:24:00+00:00,1,0.259,0.0
11,2022-05-01 19:21:52+00:00,978,0.0,0.0
12,2022-05-01 19:20:34+00:00,113,0.117,0.136
13,2022-05-01 19:17:33+00:00,1055,0.118,0.084
14,2022-05-01 18:58:47+00:00,3735,0.098,0.301
15,2022-05-01 17:53:35+00:00,338,0.0,0.0
16,2022-05-01 17:52:25+00:00,786,0.0,0.0
17,2022-05-01 17:51:49+00:00,784,0.0,0.0
18,2022-05-01 15:30:49+00:00,767,0.0,0.0
19,2022-05-01 15:28:52+00:00,8776,0.0,0.0
20,2022-05-01 15:28:21+00:00,147,0.075,0.0
21,2022-05-01 11:21:14+00:00,1559,0.0,0.0
22,2022-05-01 11:20:59+00:00,1201,0.125,0.149
23,2022-05-01 10:53:28+00:00,2905,0.163,0.0
24,2022-05-01 07:52:47+00:00,157,0.0,0.0
25,2022-05-01 07:36:53+00:00,491,0.0,0.298
26,2022-05-01 07:33:39+00:00,3244,0.0,0.0
27,2022-05-01 07:10:56+00:00,2,0.0,0.0
28,2022-05-01 05:52:12+00:00,2737,0.0,0.138
29,2022-05-01 05:51:46+00:00,460,0.094,0.0
30,2022-04-30 20:35:06+00:00,592,0.105,0.135
31,2022-04-30 20:26:08+00:00,2855,0.0,0.173
32,2022-04-30 20:15:58+00:00,4,0.0,0.0
33,2022-04-30 20:04:28+00:00,426,0.0,0.146
34,2022-04-30 19:58:48+00:00,792,0.0,0.155
35,2022-04-30 19:48:48+00:00,840,0.0,0.0
36,2022-04-30 19:47:29+00:00,3276,0.0,0.0
37,2022-04-30 19:43:19+00:00,2772,0.0,0.0
38,2022-04-30 19:32:48+00:00,16,0.0,0.126
39,2022-04-30 19:30:37+00:00,1811,0.0,0.225
40,2022-04-30 19:29:07+00:00,1381,0.1,0.223
41,2022-04-30 19:18:57+00:00,695,0.148,0.152
42,2022-04-30 19:05:06+00:00,103,0.0,0.109
43,2022-04-30 19:02:33+00:00,142,0.0,0.105
44,2022-04-30 18:59:12+00:00,151,0.0,0.362
45,2022-04-30 18:54:33+00:00,665,0.0,0.0
46,2022-04-30 18:46:04+00:00,573,0.0,0.17
47,2022-04-30 18:11:07+00:00,437,0.0,0.0
48,2022-04-30 18:00:43+00:00,1,0.0,0.0
49,2022-04-30 17:01:50+00:00,1,0.0,0.0
50,2022-04-30 16:29:30+00:00,1,0.0,0.0
51,2022-04-30 16:28:44+00:00,2,0.0,0.0
52,2022-04-30 16:26:59+00:00,196,0.163,0.0
53,2022-04-30 16:16:51+00:00,1002,0.064,0.0
54,2022-04-30 16:16:15+00:00,3637,0.163,0.0
55,2022-04-30 15:40:00+00:00,272,0.0,0.234
56,2022-04-30 15:31:42+00:00,69,0.0,0.0
57,2022-04-30 15:28:48+00:00,637,0.0,0.064
58,2022-04-30 15:24:50+00:00,2962,0.0,0.0
59,2022-04-30 08:40:00+00:00,3102,0.091,0.0
60,2022-04-30 06:07:49+00:00,1444,0.132,0.0
61,2022-04-30 06:05:58+00:00,9756,0.0,0.124
62,2022-04-29 22:03:29+00:00,2,0.739,0.0
63,2022-04-29 21:50:24+00:00,1542,0.098,0.167
64,2022-04-29 21:17:13+00:00,7446,0.148,0.0
65,2022-04-29 20:48:02+00:00,235,0.249,0.0
66,2022-04-29 20:26:10+00:00,134,0.247,0.0
67,2022-04-29 20:26:10+00:00,237,0.22,0.0
68,2022-04-29 20:13:29+00:00,781,0.058,0.0
69,2022-04-29 20:13:05+00:00,1595,0.226,0.0
70,2022-04-29 20:09:55+00:00,1225,0.0,0.0
71,2022-04-29 20:03:26+00:00,563,0.136,0.0
72,2022-04-29 19:58:21+00:00,313,0.0,0.0
73,2022-04-29 19:51:27+00:00,285,0.0,0.0
74,2022-04-29 18:32:52+00:00,1,0.516,0.0
75,2022-04-29 16:40:50+00:00,1335,0.0,0.281
76,2022-04-29 16:30:02+00:00,220,0.144,0.31
77,2022-04-29 13:36:41+00:00,2,0.366,0.0
78,2022-04-29 11:43:50+00:00,79,0.36,0.0
79,2022-04-29 11:14:18+00:00,290,0.0,0.286
80,2022-04-29 11:12:29+00:00,629,0.099,0.172
81,2022-04-29 09:42:16+00:00,589,0.069,0.338
82,2022-04-29 09:22:43+00:00,0,0.237,0.0
83,2022-04-29 09:21:58+00:00,2617,0.0,0.153
84,2022-04-29 09:19:53+00:00,3,0.157,0.0
85,2022-04-29 09:19:11+00:00,1,0.157,0.0
86,2022-04-29 09:08:53+00:00,963,0.0,0.184
87,2022-04-29 09:07:22+00:00,124,0.0,0.19
88,2022-04-29 09:06:16+00:00,466,0.0,0.0
89,2022-04-29 08:59:03+00:00,416,0.0,0.184
90,2022-04-29 08:47:58+00:00,3729,0.0,0.261
91,2022-04-29 08:43:56+00:00,2,0.0,0.0
92,2022-04-29 08:43:26+00:00,1945,0.124,0.0
93,2022-04-29 08:42:33+00:00,200,0.073,0.0
94,2022-04-29 08:18:29+00:00,394,0.0,0.127
95,2022-04-29 08:15:27+00:00,4,0.527,0.0
96,2022-04-29 08:12:52+00:00,374,0.112,0.0
97,2022-04-29 08:00:14+00:00,2885,0.0,0.167
98,2022-04-29 08:00:07+00:00,7124,0.083,0.072
99,2022-04-28 21:48:50+00:00,763,0.0,0.298
100,2022-04-28 21:39:18+00:00,382,0.0,0.0
101,2022-04-28 21:27:12+00:00,4600,0.189,0.0
102,2022-04-28 21:07:06+00:00,1,0.571,0.0
103,2022-04-28 21:03:09+00:00,150,0.285,0.0
104,2022-04-28 20:57:46+00:00,1819,0.0,0.0
105,2022-04-28 20:57:09+00:00,276,0.0,0.0
106,2022-04-28 20:56:11+00:00,104,0.347,0.0
107,2022-04-28 20:53:34+00:00,3,0.622,0.0
108,2022-04-28 20:52:59+00:00,2276,0.0,0.121
109,2022-04-28 20:50:28+00:00,62,0.0,0.0
110,2022-04-28 20:49:57+00:00,2880,0.118,0.0
111,2022-04-28 20:27:22+00:00,1,0.0,0.0
112,2022-04-28 20:23:27+00:00,1,0.0,0.0
113,2022-04-28 20:22:32+00:00,1,0.0,0.0
114,2022-04-28 20:21:33+00:00,1,0.278,0.0
115,2022-04-28 20:20:43+00:00,1,0.172,0.0
116,2022-04-28 20:20:10+00:00,1,0.0,0.0
117,2022-04-28 20:19:08+00:00,1,0.0,0.0
118,2022-04-28 19:59:14+00:00,1384,0.0,0.106
119,2022-04-28 19:57:33+00:00,3,0.111,0.0
120,2022-04-28 19:56:27+00:00,254,0.0,0.128
121,2022-04-28 18:30:18+00:00,164,0.0,0.0
122,2022-04-28 18:22:22+00:00,4415,0.0,0.106
123,2022-04-28 18:18:06+00:00,184,0.085,0.0
124,2022-04-28 18:14:59+00:00,15,0.0,0.0
125,2022-04-28 18:12:22+00:00,479,0.141,0.0
126,2022-04-28 15:38:46+00:00,551,0.132,0.0
127,2022-04-28 15:37:13+00:00,321,0.41,0.0
128,2022-04-28 15:36:34+00:00,247,0.0,0.146
129,2022-04-28 15:36:06+00:00,262,0.0,0.0
130,2022-04-28 15:32:46+00:00,235,0.081,0.093
131,2022-04-28 15:32:17+00:00,109,0.057,0.223
132,2022-04-28 15:31:58+00:00,179,0.114,0.165
133,2022-04-28 14:02:13+00:00,854,0.0,0.0
134,2022-04-28 13:03:21+00:00,5181,0.0,0.171
135,2022-04-28 13:03:17+00:00,1912,0.0,0.087
136,2022-04-28 08:21:08+00:00,158,0.0,0.241
137,2022-04-28 08:12:35+00:00,1,0.367,0.0
138,2022-04-28 08:10:56+00:00,429,0.099,0.135
139,2022-04-28 08:10:42+00:00,630,0.0,0.163
140,2022-04-28 08:08:44+00:00,1,0.0,0.0
141,2022-04-28 08:05:14+00:00,4694,0.0,0.32
142,2022-04-28 07:49:13+00:00,584,0.0,0.125
143,2022-04-28 07:48:45+00:00,1,0.0,0.268
144,2022-04-28 07:46:13+00:00,99,0.0,0.0
145,2022-04-28 07:35:22+00:00,7,0.0,0.0
146,2022-04-28 07:32:00+00:00,1,0.0,0.0
147,2022-04-28 07:31:19+00:00,8304,0.0,0.0
148,2022-04-28 07:29:49+00:00,541,0.0,0.265
149,2022-04-28 07:18:38+00:00,76,0.0,0.0
150,2022-04-28 05:39:33+00:00,660,0.237,0.0
151,2022-04-28 05:24:21+00:00,4640,0.0,0.0
152,2022-04-27 21:57:48+00:00,491,0.079,0.128
153,2022-04-27 21:32:00+00:00,433,0.076,0.165
154,2022-04-27 21:27:08+00:00,204,0.0,0.174
155,2022-04-27 20:55:35+00:00,857,0.0,0.271
156,2022-04-27 20:46:40+00:00,756,0.0,0.0
157,2022-04-27 20:43:59+00:00,2217,0.0,0.19
158,2022-04-27 20:43:17+00:00,413,0.067,0.0
159,2022-04-27 20:10:35+00:00,4769,0.0,0.0
160,2022-04-27 20:07:01+00:00,129,0.0,0.0
161,2022-04-27 19:56:40+00:00,4424,0.088,0.254
162,2022-04-27 15:21:31+00:00,2,0.615,0.0
163,2022-04-27 12:12:57+00:00,435,0.11,0.084
164,2022-04-27 12:11:07+00:00,1215,0.134,0.192
165,2022-04-27 12:09:11+00:00,2,0.682,0.0
166,2022-04-27 11:03:39+00:00,1169,0.0,0.148
167,2022-04-27 10:47:36+00:00,1749,0.08,0.0
168,2022-04-27 09:52:10+00:00,297,0.129,0.185
169,2022-04-27 09:48:52+00:00,740,0.0,0.122
170,2022-04-27 09:23:09+00:00,387,0.0,0.137
171,2022-04-27 09:12:50+00:00,4803,0.304,0.087
172,2022-04-27 08:47:53+00:00,1398,0.0,0.0
173,2022-04-27 08:47:41+00:00,140,0.0,0.194
174,2022-04-27 08:46:55+00:00,159,0.111,0.0
175,2022-04-27 08:35:56+00:00,553,0.0,0.136
176,2022-04-27 08:15:57+00:00,394,0.0,0.147
177,2022-04-27 06:41:00+00:00,1407,0.0,0.228
178,2022-04-27 06:40:22+00:00,423,0.0,0.0
179,2022-04-27 05:24:49+00:00,1228,0.065,0.092
180,2022-04-27 05:22:04+00:00,584,0.0,0.286
181,2022-04-27 05:19:04+00:00,2265,0.0,0.218
