,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-01 18:14:37+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views",[],"[{'screen_name': 'PromoteUkraine', 'name': 'Promote Ukraine', 'id': 3995036555, 'id_str': '3995036555', 'indices': [3, 18]}]",0,en,1777,1748,12,False,RT @PromoteUkraine: Join us for the march and concert on the 8th of May in Brussels https://t.co/4RAVwoazKe,"Brussels, Belgium",0.121,0.0,0,107,1777,0,1,17,5.352941176470588
1,2022-05-01 18:12:33+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views",[],"[{'screen_name': 'olgatokariuk', 'name': 'Olga Tokariuk', 'id': 1359532099, 'id_str': '1359532099', 'indices': [3, 16]}]",0,en,1777,1748,784,False,"RT @olgatokariuk: About 100 civilians were evacuated from Azovstal steel mill in Mariupol today, president Zelensky confirmed. He said peop…","Brussels, Belgium",0.0,0.0,0,140,1777,0,0,20,6.05
2,2022-04-29 11:48:56+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views",[],"[{'screen_name': 'WIIS_NL', 'name': 'WIIS Netherlands', 'id': 1252876679459991554, 'id_str': '1252876679459991554', 'indices': [3, 11]}]",0,en,1777,1748,5,False,"RT @WIIS_NL: This week, 3 years ago, UNSC adopted Resolution 2467 - Women and peace &amp; security: Sexual violence in conflict

Acknowledging…","Brussels, Belgium",0.208,0.226,0,143,1777,0,0,22,5.5
3,2022-04-29 06:51:35+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'RussianWarCrimes', 'indices': [20, 37]}]","[{'screen_name': 'PromoteUkraine', 'name': 'Promote Ukraine', 'id': 3995036555, 'id_str': '3995036555', 'indices': [3, 18]}]",0,und,1777,1748,5,False,RT @PromoteUkraine: #RussianWarCrimes https://t.co/EjIAG1FpJR,"Brussels, Belgium",0.0,0.0,0,61,1777,1,1,4,14.5
4,2022-04-29 05:01:26+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views",[],"[{'screen_name': 'yarotrof', 'name': 'Yaroslav Trofimov', 'id': 30011100, 'id_str': '30011100', 'indices': [3, 12]}]",0,en,1777,1748,2276,False,RT @yarotrof: It’s not just Putin. Canceling Ukraine is a desire shared by many Russians throughout the years — including some of the count…,"Brussels, Belgium",0.203,0.0,1,140,1777,0,0,24,4.875
5,2022-04-28 17:52:31+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'NATOYouthSummit', 'indices': [29, 45]}]","[{'screen_name': 'olgatokariuk', 'name': 'Olga Tokariuk', 'id': 1359532099, 'id_str': '1359532099', 'indices': [3, 16]}]",97,en,1777,1748,26,False,🇺🇦 @olgatokariuk speaking at #NATOYouthSummit: Ukrainians have been fighting for democracy for the past 8 yrs. Demo… https://t.co/0t5JTO7EDO,"Brussels, Belgium",0.0,0.135,0,140,1777,1,1,18,6.833333333333333
6,2022-04-28 15:44:48+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'Ukrainian', 'indices': [106, 116]}]","[{'screen_name': 'PromoteUkraine', 'name': 'Promote Ukraine', 'id': 3995036555, 'id_str': '3995036555', 'indices': [3, 18]}, {'screen_name': 'NATO', 'name': 'NATO', 'id': 83795099, 'id_str': '83795099', 'indices': [36, 41]}]",0,en,1777,1748,11,False,"RT @PromoteUkraine: We believe that @NATO can show true leadership in safeguarding humanity, the lives of #Ukrainian children, women &amp; men,…","Brussels, Belgium",0.205,0.0,0,144,1777,1,0,21,5.904761904761905
7,2022-04-28 15:17:38+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'Mariupol', 'indices': [80, 89]}]","[{'screen_name': 'NATOWPS', 'name': 'NATO WPS', 'id': 2585735624, 'id_str': '2585735624', 'indices': [23, 31]}, {'screen_name': 'irenefellin', 'name': 'Irene Fellin - NATO WPS', 'id': 1039094306, 'id_str': '1039094306', 'indices': [32, 44]}]",75,en,1777,1748,28,False,Special Representative @NATOWPS @irenefellin talks about women giving births in #Mariupol under constant shelling a… https://t.co/dxwrug6jju,"Brussels, Belgium",0.267,0.0,0,140,1777,1,1,16,7.8125
8,2022-04-28 14:11:48+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'UkraineRussiaWar', 'indices': [0, 17]}, {'text': 'FossilFuels', 'indices': [69, 81]}, {'text': 'Russia', 'indices': [87, 94]}]",[],33,en,1777,1748,11,False,"#UkraineRussiaWar has really showed us how countries are depended on #FossilFuels from #Russia, and how energy and… https://t.co/fUpZb5VA9I","Brussels, Belgium",0.11,0.0,0,139,1777,3,1,18,6.777777777777778
9,2022-04-28 13:37:30+00:00,Sofiia Shevchuk 💙💛,5119,"🇺🇦 Independent Researcher, Project Manager | Climate, Gender, Security | @bxlbinder @wiisbrussels | fmr @HNeumannMEP @SHE_curity @collegeofeurope | my views","[{'text': 'CulturalDiplomacy', 'indices': [10, 28]}, {'text': 'NATOYouthSummit', 'indices': [46, 62]}]","[{'screen_name': 'NATO', 'name': 'NATO', 'id': 83795099, 'id_str': '83795099', 'indices': [66, 71]}, {'screen_name': 'cepa', 'name': 'CEPA', 'id': 437525465, 'id_str': '437525465', 'indices': [72, 77]}, {'screen_name': 'NATOBrazeB', 'name': 'Baiba Braže', 'id': 761156098447515648, 'id_str': '761156098447515648', 'indices': [83, 94]}]",55,en,1777,1748,14,False,Ukrainian #CulturalDiplomacy in action during #NATOYouthSummit by @NATO @cepa with @NATOBrazeB appreciating Ukraini… https://t.co/lUpodTXozO,"Brussels, Belgium",0.182,0.0,0,140,1777,2,1,14,9.071428571428571
