,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
0,2022-05-02 10:50:54+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'christogrozev', 'name': 'Christo Grozev', 'id': 144611647, 'id_str': '144611647', 'indices': [3, 17]}]",0,it,3503,86743,270,False,"RT @christogrozev: Lavrov, in an interview to Berlusconi's tv channel Mediaset: https://t.co/YN7anTXVcH",Home is where my suitcase is,0.0,0.0,0,103,3503,0,1,12,7.666666666666667
1,2022-05-02 09:08:32+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],55,en,3503,86743,18,False,Our latest on Ukraine’s claimed sinking of two Russian warships.  https://t.co/3YXHO0zZQG,Home is where my suitcase is,0.0,0.13,0,89,3503,0,1,11,7.090909090909091
2,2022-05-02 08:45:25+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'galt_the', 'name': 'Alex P', 'id': 1020602380096696320, 'id_str': '1020602380096696320', 'indices': [0, 9]}]",1,en,3503,86743,0,False,@galt_the Patrol boats with a 100-mile range are definitely warships.,Home is where my suitcase is,0.241,0.134,0,69,3503,0,0,10,6.0
3,2022-05-02 08:30:59+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'Pandamokneeum', 'name': 'Aki', 'id': 1496583888331628545, 'id_str': '1496583888331628545', 'indices': [0, 14]}, {'screen_name': 'truecounter', 'name': 'Truecounter', 'id': 400834403, 'id_str': '400834403', 'indices': [15, 27]}, {'screen_name': 'galt_the', 'name': 'Alex P', 'id': 1020602380096696320, 'id_str': '1020602380096696320', 'indices': [28, 37]}]",1,en,3503,86743,0,False,@Pandamokneeum @truecounter @galt_the They are 16.9 meters long,Home is where my suitcase is,0.0,0.0,0,63,3503,0,0,8,7.0
4,2022-05-02 08:12:11+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],849,en,3503,86743,189,False,Each of those warships can carry 20 Marines in addition to 3 crew. If they were heading to relieve Russia’s Snake I… https://t.co/cwsoRFxBwW,Home is where my suitcase is,0.104,0.062,0,140,3503,0,1,23,5.130434782608695
5,2022-05-02 07:18:00+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],568,en,3503,86743,144,False,Ukraine releases footage of Bayraktar strikes that it says sank two Russian Navy Raptor-class ships off Snake islan… https://t.co/NpJTee347y,Home is where my suitcase is,0.0,0.122,0,140,3503,0,1,19,6.421052631578948
6,2022-05-02 06:25:27+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,"[{'text': 'BREAKING', 'indices': [19, 28]}]","[{'screen_name': 'AmichaiStein1', 'name': 'Amichai Stein', 'id': 744601892, 'id_str': '744601892', 'indices': [3, 17]}]",0,en,3503,86743,1439,False,RT @AmichaiStein1: #BREAKING: Russian ambassador to Israel has been summoned to the Israeli Foreign Ministry after the anti-Semitic stateme…,Home is where my suitcase is,0.0,0.0,1,140,3503,1,0,19,6.421052631578948
7,2022-05-02 04:59:57+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],138,en,3503,86743,43,False,A new addition to Ukrainian slang. Russian authorities referred to cross-border blasts caused by suspected Ukrainia… https://t.co/6Q4MvMcdC5,Home is where my suitcase is,0.0,0.112,0,140,3503,0,1,17,7.294117647058823
8,2022-05-02 04:31:49+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],330,en,3503,86743,89,False,"And a sleepless night in Russia’s Belgorod again, with explosions and what could be Ukrainian aircraft activity. No… https://t.co/38qdrLPcs3",Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,19,6.421052631578948
9,2022-05-01 22:39:08+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'b_judah', 'name': 'Ben Judah', 'id': 217758017, 'id_str': '217758017', 'indices': [3, 11]}]",0,ro,3503,86743,440,False,RT @b_judah: Extremely disturbing embrace of antisemitic rhetoric: https://t.co/shyfNQcGrn,Home is where my suitcase is,0.196,0.273,0,90,3503,0,1,9,9.11111111111111
10,2022-05-01 14:39:53+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': 1120633726478823425, 'id_str': '1120633726478823425', 'indices': [3, 15]}]",0,en,3503,86743,8775,False,RT @ZelenskyyUa: Evacuation of civilians from Azovstal began. The 1st group of about 100 people is already heading to the controlled area.…,Home is where my suitcase is,0.0,0.0,1,139,3503,0,0,22,5.363636363636363
11,2022-05-01 12:44:24+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],2799,en,3503,86743,289,False,"Explosions once again in Russia’s Belgorod region near the Kharkiv frontline, possibly of an ammunition depot. Imag… https://t.co/qjvTDKRAj7",Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,18,6.833333333333333
12,2022-05-01 11:24:19+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'anneapplebaum', 'name': 'Anne Applebaum', 'id': 297100174, 'id_str': '297100174', 'indices': [3, 17]}]",0,en,3503,86743,657,False,"RT @anneapplebaum: Facebook's thoughtless, automated moderation policies are destroying independent journalism in Afghanistan, Ukraine and…",Home is where my suitcase is,0.0,0.337,0,139,3503,0,0,15,8.333333333333334
13,2022-05-01 11:22:59+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'sommervilletv', 'name': 'Quentin Sommerville', 'id': 328406897, 'id_str': '328406897', 'indices': [3, 17]}]",0,en,3503,86743,68,False,"RT @sommervilletv: “The biggest fear, especially among men, in areas under Russian control is that they will soon be forcibly drafted to fi…",Home is where my suitcase is,0.0,0.127,0,140,3503,0,0,23,5.130434782608695
14,2022-05-01 11:17:10+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],598,en,3503,86743,338,False,"Russia’s occupation of south Ukraine hardens, with the ruble, the Russian school curriculum and Lenin statues comin… https://t.co/tM7A4SMJt6",Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,18,6.833333333333333
15,2022-05-01 07:50:17+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'WSJ', 'name': 'The Wall Street Journal', 'id': 3108351, 'id_str': '3108351', 'indices': [3, 7]}]",0,en,3503,86743,63,False,RT @WSJ: Vladimir Putin believes that Ukraine has no historical identity independent of Russia. Many Russian liberals and dissidents have t…,Home is where my suitcase is,0.0,0.099,0,140,3503,0,0,21,5.714285714285714
16,2022-05-01 06:46:57+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],163,et,3503,86743,39,False,Nancy Pelosi is in Kyiv. https://t.co/EF3smU393G,Home is where my suitcase is,0.0,0.0,0,48,3503,0,1,6,7.166666666666667
17,2022-05-01 05:10:35+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'DMokryk', 'name': 'Danylo Mokryk', 'id': 864624748738875392, 'id_str': '864624748738875392', 'indices': [3, 11]}]",0,en,3503,86743,946,False,"RT @DMokryk: 🇷🇺Russia paid it's foreign debt yesterday: 649 mil $.

Now think, dear ""nuclear WW3"" scaremongers. Would Russia give away more…",Home is where my suitcase is,0.096,0.203,0,140,3503,0,0,22,5.363636363636363
18,2022-04-30 19:39:50+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'akoz33', 'name': 'Andrzej Kozlowski', 'id': 2380700497, 'id_str': '2380700497', 'indices': [0, 7]}, {'screen_name': 'DrRadchenko', 'name': 'Sergey Radchenko', 'id': 2313633876, 'id_str': '2313633876', 'indices': [8, 20]}]",9,en,3503,86743,2,False,@akoz33 @DrRadchenko This one is not going anywhere. https://t.co/GoLN40BXID,Home is where my suitcase is,0.0,0.0,0,76,3503,0,1,9,7.555555555555555
19,2022-04-30 18:55:38+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'saltynostrils', 'name': 'Mark Lovett', 'id': 1955845404, 'id_str': '1955845404', 'indices': [0, 14]}, {'screen_name': 'timkmak', 'name': 'Tim Mak', 'id': 17907987, 'id_str': '17907987', 'indices': [15, 23]}]",13,en,3503,86743,0,False,@saltynostrils @timkmak Now I have to meet my namesake,Home is where my suitcase is,0.0,0.0,0,54,3503,0,0,9,5.111111111111111
20,2022-04-30 18:54:48+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'DrRadchenko', 'name': 'Sergey Radchenko', 'id': 2313633876, 'id_str': '2313633876', 'indices': [0, 12]}]",5,en,3503,86743,0,False,"@DrRadchenko Long-term, not in Russia’s favor",Home is where my suitcase is,0.0,0.311,0,45,3503,0,0,6,6.666666666666667
21,2022-04-30 18:47:34+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'DrRadchenko', 'name': 'Sergey Radchenko', 'id': 2313633876, 'id_str': '2313633876', 'indices': [0, 12]}]",16,ru,3503,86743,3,False,"@DrRadchenko Кто устоит в неравном споре:
Кичливый лях, иль верный росс?
Славянские ль ручьи сольются в русском мор… https://t.co/wnXai9QrJt",Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,19,6.421052631578948
22,2022-04-30 15:38:30+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'VladDavidzon', 'name': 'Vladislav Davidzon', 'id': 1621201316, 'id_str': '1621201316', 'indices': [0, 13]}]",5,ru,3503,86743,0,False,"@VladDavidzon Would have? This is what he wrote about Poles:
Вас пожирает; вам обидна
Величья нашего заря;
Вам солн… https://t.co/6xJuFGIxT1",Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,20,6.05
23,2022-04-30 10:33:11+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'GLNoronha', 'name': 'Gabriel Noronha', 'id': 1323728246, 'id_str': '1323728246', 'indices': [3, 13]}]",0,en,3503,86743,3838,False,"RT @GLNoronha: I don’t normally tweet Iranian propaganda videos, but there’s an exception to every rule…
https://t.co/Xaweyv6b8u",Home is where my suitcase is,0.0,0.091,1,128,3503,0,1,17,6.588235294117647
24,2022-04-30 10:00:44+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],461,en,3503,86743,249,False,The TV host then goes on to say that the “terrorist” Ukrainian state must be conquered and dismantled in its entire… https://t.co/MjhxxsL283,Home is where my suitcase is,0.0,0.0,0,140,3503,0,1,22,5.409090909090909
25,2022-04-29 16:59:20+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'edwardstrngr', 'name': 'Edward Stringer🇺🇦', 'id': 228131578, 'id_str': '228131578', 'indices': [3, 16]}, {'screen_name': 'yarotrof', 'name': 'Yaroslav Trofimov', 'id': 30011100, 'id_str': '30011100', 'indices': [119, 128]}]",0,en,3503,86743,84,False,RT @edwardstrngr: Uncomfortable but necessary reading when assessing what is at stake and why Ukraine will fight hard. @yarotrof. https://t…,Home is where my suitcase is,0.0,0.286,0,140,3503,0,1,20,6.05
26,2022-04-29 15:22:02+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'PomroyTrevor', 'name': 'Trevor Pomroy (He/Him)', 'id': 1469002870175457282, 'id_str': '1469002870175457282', 'indices': [3, 16]}, {'screen_name': 'yarotrof', 'name': 'Yaroslav Trofimov', 'id': 30011100, 'id_str': '30011100', 'indices': [18, 27]}]",0,en,3503,86743,11,False,RT @PomroyTrevor: @yarotrof Normal vs. evil. That is the phrase of this dangerous new century.,Home is where my suitcase is,0.0,0.382,0,94,3503,0,0,15,5.333333333333333
27,2022-04-29 15:20:40+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'DavidWMcDuff', 'name': 'David McDuff 🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f.🇪🇺', 'id': 405407239, 'id_str': '405407239', 'indices': [0, 13]}, {'screen_name': 'kisasosisa', 'name': 'These are my rivers', 'id': 18362798, 'id_str': '18362798', 'indices': [14, 25]}, {'screen_name': 'IlvesToomas', 'name': 'toomas hendrik ilves', 'id': 579747564, 'id_str': '579747564', 'indices': [26, 38]}]",1,en,3503,86743,2,False,@DavidWMcDuff @kisasosisa @IlvesToomas there is a video of Brodsky reciting it in Palo Alto. https://t.co/sbH0rZmSRl,Home is where my suitcase is,0.0,0.0,0,116,3503,0,1,15,6.8
28,2022-04-29 15:15:43+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],[],271,en,3503,86743,59,False,Spare a thought for salt-less Poland that doesn’t allow its poor citizens enjoy the wealth of Belarus. https://t.co/ra7miZcz67,Home is where my suitcase is,0.34,0.127,0,126,3503,0,1,18,6.055555555555555
29,2022-04-29 10:49:10+00:00,Yaroslav Trofimov,22395,Chief Foreign-Affairs Correspondent of The Wall Street Journal. Author of Siege of Mecca. Endorsing nothing. Email me yarotrof at gmail. https://t.co/izxPVsjmVa,[],"[{'screen_name': 'biannagolodryga', 'name': 'Bianna Golodryga', 'id': 14135350, 'id_str': '14135350', 'indices': [3, 19]}]",0,en,3503,86743,137,False,"RT @biannagolodryga: US trainer from Alaska on why he's in Ukraine: ""'I guarantee you the Russia willing to invade and bomb Ukraine just be…",Home is where my suitcase is,0.074,0.118,0,140,3503,0,0,24,4.875
